,IC,IC_IR
"base (10 signals, GBM)",0.02559340689072909,0.596493043195696
+ residual momentum,0.02504270160651826,0.583498951074282
ensemble (GBM+Ridge+RF),0.029034595001244796,0.5444436012415995
